Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC,AIOE,major_minor
Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3512.0,3512,15-1151 ,1.2355878663736692,15
Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2144.0,2144,17-2141 ,1.167377784026609,17
Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4071,-0.6777790981433184,19
Agricultural Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,3142.0,3142,19-4011,1.1982784617699302,19
Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3359.0,3359,45-2011 ,0.15559590546894125,45
Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,8341.0,8341,45-4022,-1.012423592144586,45
Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,3153.0,3153,53-2012,-0.20579250907632357,53
Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021,0.8006554663832743,25
Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,4110.0,4110,43-9061 ,0.9698125993622836,43
Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3343.0,3343,43-6011,1.0600457450196432,43
Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,3142.0,3142,19-4011,1.1982784617699302,19
AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133,1.2355878663736692,15
AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,2529.0,2529,15-1299,1.2355878663736692,15
Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,3154.0,3154,53-2021,1.1328593104970563,53
Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3153.0,3153,53-2012,-0.20579250907632357,53
Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061,-0.3872555286506614,53
Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3521.0,3521,27-4099 ,0.733024170282144,27
Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,8344.0,8344,53-7051 ,-1.298820999584999,53
Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3258.0,3258,29-2041 ,0.23801104445472598,29
Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,8322.0,8322 p,53-3011,-0.8395236274276211,53
Analog / Digital Chip Analyst,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,2152.0,2152,17-2072 ,0.6853776260103156,17
Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199,0.8006554663832743,25
Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,5164.0,5164,39-2021 ,-0.8984382197853837,39
Animal Health Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3240.0,3240,31-9096,-0.8265822627679962,31
Animal Production Assistant,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,3240.0,3240,31-9096,-0.8265822627679962,31
Apparel Display Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3432.0,3432,27-1027,0.40509408210418385,27
Apparel Pattern Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,No,7532.0,7532,51-9031,-0.9570047705546841,51
Apparel Quality Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041,0.3835605034568007,53
Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2512.0,2512,15-1133,1.2355878663736692,15
Aquaculture Business Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,6221.0,6221 p,11-9013,-0.14193550411508854,11
Aquaculture Teacher,Education,Other education services,Higher Education,Yes,No,3142.0,3142,19-4011,1.1982784617699302,19
Aquaculture Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,3142.0,3142,19-4011,1.1982784617699302,19
Aquaculture Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,3142.0,3142,19-4011,1.1982784617699302,19
Aquatic Ecology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2131.0,2131,19-1099,1.1982784617699302,19
Architectural Drafter,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 ,-0.5800703514608596,27
Archivist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,2621.0,2621,25-4012,0.7188278381031682,25
Art Gallery Associate,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3433.0,3433,27-1012 ,-0.8672596469857901,27
Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3432.0,3432,27-1027,0.40509408210418385,27
Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,8332.0,8332,53-3032,-1.100644052209415,53
Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,3240.0,3240,31-9096,-0.8265822627679962,31
Artisanal Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,7317.0,7317,51-7099,-0.883448634209523,51
ASEAN Affairs Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2421.0,2421,13-1111,1.369842507381068,13
Associate Data Engineer,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2521.0,2521,15-1242,1.3407881770776935,15
Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2111.0,2111,19-2012,1.3394233838362615,19
Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,2654.0,2654,27-4032 ,0.9134893505999866,27
Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2654.0,2654,27-4032 ,0.9134893505999866,27
Auto-Electrical Diagnosis Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3115.0,3115,17-3029,-0.03723197947582092,17
Automation Control Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes,3115.0,3115,17-3029,-0.03723197947582092,17
Automotive Body Painting Specialist,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7132.0,7132,51-9124,-1.179000608234312,51
Automotive Body Specialist,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7231.0,7231,49-3093,-1.5566147016651897,49
Automotive Chassis Mechanic,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093,-1.5566147016651897,49
Automotive Electrical Assembly Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3113.0,3113,17-3024,-0.29230614171760083,17
Automotive Engine Specialist,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,2144.0,2144,17-2141 ,1.167377784026609,17
Automotive Maintenance Staff,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093,-1.5566147016651897,49
Automotive Mechanic Specialized In EV Power,Manufacturing                                                ,Manufacture of batteries and accumulators,Not Higher Education,No,No,7414.0,,49-3023,-0.876835317455249,49
Automotive Mechanical Assembly Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,8211.0,8211,51-2031,-0.9651301558449767,51
Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,7132.0,7132,51-9124,-1.179000608234312,51
Automotive Painting Machine Operator,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,8122.0,8122,51-9192 ,-1.1499103660102423,51
Automotive Service Specialist (Chassis),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093,-1.5566147016651897,49
Automotive Wiring Harness Assembler,Manufacturing                                                ,Manufacture of wiring and wiring devices,Not Higher Education,No,No,8211.0,8211,51-2031,-0.9651301558449767,51
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133,1.2355878663736692,15
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2513.0,2513,15-1134 ,1.2355878663736692,15
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,47-5022,-1.15238606969144,47
Backstrap Warper,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,8152.0,8152,51-6063,-1.169710204319749,51
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9333.0,9333,53-7121,-1.3945203591395479,53
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6118.0,6113,45-2091,-1.153152853548008,45
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,2411.0,2411,13-2082,1.3620743346972182,13
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,5321.0,5321,31-1014 ,-0.4413828025834359,31
Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2265.0,2265,29-1031,1.3739495407622582,29
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5141.0,5141,39-5012,-0.6928416342196729,39
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,5132.0,5132,35-3011,-0.6267809371496645,35
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,5132.0,5132,35-3011,-0.6267809371496645,35
Basic Jewelry Fabricator,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,8219.0,8219,51-2099,-0.883448634209523,51
Basket Weaver,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,7317.0,7317,51-7099,-0.883448634209523,51
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5419.0,5419,43-5031,0.8618669629198157,43
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,5113.0,5113,39-7012,0.45712205278374385,39
Beadwork Accessories Makers,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,7319.0,7319,27-1012 ,-0.8672596469857901,27
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021,-1.0528327163871603,45
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9621.0,9621,43-5021,-0.9681462754612661,43
Bench Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023,0.23070357188439491,17
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2622.0,2622,25-9011,0.8006554663832743,25
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4214.0,4214,43-3011,1.2514394559345414,43
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,3118.0,3118,27-1013 ,-0.5800703514608596,27
Biology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199,0.8006554663832743,25
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012,-0.3935851657204582,29
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3212.0,3212,29-2012,-0.3935851657204582,29
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012,-0.3935851657204582,29
Blacksmith,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7221.0,7221,51-4199 ,-0.883448634209523,51
Boat Fitter,Manufacturing                                                ,Building of ships and boats,Not Higher Education,No,No,7233.0,7233,49-9081,-1.049182638556866,49
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,8350.0,8350,53-5022,-0.8102712472248825,53
Body Repair Personnel,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7231.0,7231,49-3093,-1.5566147016651897,49
Book Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024,0.733024170282144,27
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,3313.0,3313,43-3031,1.0204933974998105,43
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,8332.0,8332,53-3032,-1.100644052209415,53
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,5414.0,5414,33-9093 ,-0.5182191975946915,33
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011,1.0600457450196432,43
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,4120.0,4120,43-6014,1.0792977885038806,43
Brand Designer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2163.0,2163,27-1029,0.733024170282144,27
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3435.0,3435,39-3099 ,-0.5276871682377668,39
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3521.0,3521,27-4099 ,0.733024170282144,27
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2641.0,2641,27-3043,0.7743766257616718,27
Building Design Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011,1.0614157123926597,17
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,7411.0,7411,47-2231,-0.9863345860553325,47
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,47-5022,-1.15238606969144,47
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2424.0,2424,13-1151 ,1.1966462559768865,13
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011,1.0600457450196432,43
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2421.0,2421,13-1111,1.369842507381068,13
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,2642.0,2642,27-3041 ,1.1083010062005718,27
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011,1.0600457450196432,43
Butcher,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,7511.0,7511,51-3091 ,-0.7688751902862945,51
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,5152.0,5152,39-9099 ,-0.5276871682377668,39
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021,-1.0528327163871603,45
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052,-1.0922437980466209,49
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091,-1.153152853548008,45
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,3511.0,3511,15-1299,1.2355878663736692,15
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3151.0,3151,53-5031,-0.5348275306846189,53
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,4222.0,4222,43-4171 ,1.0117367283079466,43
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-0.9644465077543026,51
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-0.9644465077543026,51
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5322.0,5322,39-9021,-0.5276871682377668,39
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,5322.0,5322,39-9021,-0.5276871682377668,39
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5311.0,5311,39-9011,-0.5276871682377668,39
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2651.0,2651,27-1013,-0.5800703514608596,27
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3412.0,3412,21-1093,0.7806366196871929,21
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,5230.0,5230,41-2012,-0.06376697279619538,41
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2622.0,2622,25-9011,0.8006554663832743,25
Cataloguing Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,3323.0,3323,13-1023,1.4742814213283417,13
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,3521.0,3521,27-4099 ,0.733024170282144,27
Certified Public Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082,1.3620743346972182,13
Certified Public Accountant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,2411.0,2411,13-2082,1.3620743346972182,13
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2636.0,2636,21-2021 ,1.2114588767178207,21
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2166.0,2166,27-1024,0.733024170282144,27
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Chemical Analyst (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2145.0,2145,17-2041,1.362684084864043,17
Chemical Informatics Assistant,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,3133.0,3133,51-8091,-0.3951131271969292,51
Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3116.0,3116,17-3029,-0.03723197947582092,17
Chemical Process Operator,Manufacturing                                                ,Manufacture of basic chemicals,Not Higher Education,No,No,3133.0,3133,51-8091,-0.3951131271969292,51
Chemical Production Technician,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,3133.0,3133,51-8091,-0.3951131271969292,51
Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,6110.0,,37-3012.00,-0.5409268890934459,37
Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5311.0,5311,39-9011,-0.5276871682377668,39
Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,5311.0,5311,39-9011,-0.5276871682377668,39
China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199,1.4540568100648037,13
Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,7512.0,7512,51-3011,-0.39723816137149776,51
Church Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3413.0,3413,21-2099,0.7806366196871929,21
Circuit Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,2152.0,2152,17-2072 ,0.6853776260103156,17
Civics Curriculum Developer,Education,Educational support services,Higher Education,No,No,2351.0,2351,25-9031,1.333804583640498,25
Civil Defense Program Staff,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,5411.0,5411,33-2011,-1.2762872583675486,33
Civil Service Officer,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,2422.0,2422,13-1199,1.4540568100648037,13
Classical Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2652.0,2652,27-2042,-0.04811371078095986,27
Clean-Up Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,5142.0,5142,39-5094,-0.18024459326191497,39
Clergy Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3413.0,3413,21-2099,0.7806366196871929,21
Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4419.0,4419,43-9199 ,1.0117367283079466,43
Climate and Weather Monitoring Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3111.0,3111,19-4099,0.08822265736664947,19
Climate Science Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2133.0,2133,19-2041 ,1.1214078377932841,19
Clinical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3256.0,3256,31-9092,0.131317826544596,31
Clinical Chemistry Analyst,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,2131.0,2131,19-1099,1.1982784617699302,19
Clinical Research Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3256.0,3256,31-9092,0.131317826544596,31
Clothing Line Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041,0.3835605034568007,53
CNC EDM Wire Cut Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.883448634209523,51
CNC Lathe Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7523.0,7523,51-7042,-1.1384208402675908,51
CNC Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.883448634209523,51
CNC Milling Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.883448634209523,51
